data,Inv_CONNECTEDTV,Impr_CONNECTEDTV,Inv_DISPLAY,Impr_DISPLAY,Inv_OPENTV,Impr_OPENTV,Inv_PAIDTV,Impr_PAIDTV,Inv_PROGRAMATICA,Impr_PROGRAMATICA,Inv_SEARCH,Impr_SEARCH,Inv_SOCIAL,Impr_SOCIAL,Inv_YOUTUBE,Impr_YOUTUBE,ipca,desemprego,indice_confianca_consumidor,leads
2023-04-02,10839.14,298732,48558.65,6521162,0.00,0,7488.00,0,22898.80,18024603,52239.58,174869,46930.33,7687405,0.00,0,0.0106,0.080,125.10,431
2023-04-03,8009.83,273760,42883.08,7023830,0.00,0,11232.00,0,24631.73,20070811,60191.30,170125,42221.79,6814170,0.00,0,0.0106,0.080,125.10,298
2023-04-04,7621.57,287631,54968.77,8972318,0.00,0,7488.00,0,23480.07,18919416,51552.92,156079,42683.33,6552474,0.00,0,0.0106,0.080,125.10,254
2023-04-05,6835.92,231746,46371.60,6411203,0.00,0,11232.00,0,23331.25,15319645,57259.46,158534,42503.47,6360340,0.00,0,0.0106,0.080,125.10,348
2023-04-06,6853.02,221976,37415.51,5393715,0.00,0,7488.00,0,25054.86,16289093,54173.80,141454,42688.08,5862293,0.00,0,0.0106,0.080,125.10,319
2023-04-07,6917.06,219166,35569.88,4448801,0.00,0,11232.00,0,25271.74,15880018,53311.96,123395,44595.94,6882654,0.00,0,0.0106,0.080,125.10,336
2023-04-08,6102.71,198703,34814.73,5106354,0.00,0,7488.00,0,24685.25,14353788,63955.83,129670,43140.38,6912272,0.00,0,0.0106,0.080,125.10,374
2023-04-09,6875.72,200729,37343.35,5814565,0.00,0,7488.00,0,24152.39,12952275,61224.03,127884,47675.10,8332635,0.00,0,0.0106,0.080,125.10,327
2023-04-10,6703.89,188713,38214.29,8572368,0.00,0,11232.00,0,22298.72,15826098,79805.53,138954,43724.34,7584956,0.00,0,0.0106,0.080,125.10,448
2023-04-11,6467.47,186785,27755.98,5600762,0.00,0,7488.00,0,22853.03,15148196,74132.84,132731,46041.32,7025696,0.00,0,0.0106,0.080,125.10,423
2023-04-12,6463.07,151611,53486.45,9330535,0.00,0,11232.00,0,25250.92,13511365,73303.67,132104,44995.32,6819682,0.00,0,0.0106,0.080,125.10,365
2023-04-13,8513.56,173222,55292.16,10042681,0.00,0,7488.00,0,24956.92,13051786,68212.00,126667,49925.75,7101007,1133.14,168070,0.0106,0.080,125.10,330
2023-04-14,4586.72,122948,53377.38,11552915,0.00,0,11232.00,0,24658.68,10713359,66667.58,129189,51397.04,7154342,7639.34,1573141,0.0106,0.080,125.10,469
2023-04-15,6568.52,102368,51262.11,16035874,0.00,0,7488.00,0,25692.87,11045062,68124.37,133802,52799.06,7458627,18768.50,4758521,0.0106,0.080,125.10,300
2023-04-16,7.20,150,76452.01,12834931,287697.34,0,7488.00,0,24733.87,10372985,61293.75,135046,56447.97,8641253,19449.36,5124443,0.0106,0.080,125.10,413
2023-04-17,11.47,239,59069.97,13928992,0.00,0,7488.00,0,24198.36,12909557,69216.87,130064,53153.04,8582747,19512.93,4191803,0.0106,0.080,125.10,404
2023-04-18,20.37,410,66957.51,14170535,0.00,0,7488.00,0,24560.63,13448023,67898.74,129890,53809.28,7487241,19512.06,4196445,0.0106,0.080,125.10,496
2023-04-19,2625.64,26443,55981.40,12663185,0.00,0,7488.00,0,23357.38,11917508,64657.96,125775,52990.95,7270644,19982.49,3997381,0.0106,0.080,125.10,414
2023-04-20,460.37,4822,47619.45,11934735,0.00,0,7488.00,0,22339.46,13513326,62254.03,119688,42392.37,5401906,19634.68,3686167,0.0106,0.080,125.10,309
2023-04-21,750.90,7844,66340.30,14934013,0.00,0,7488.00,0,21126.10,13621756,62519.62,128278,45865.99,5596146,20017.64,4448128,0.0106,0.080,125.10,323
2023-04-22,73191.66,286733,60106.79,12847005,174620.42,0,7488.00,0,20418.53,14014772,61384.93,127872,46085.72,5966802,19517.57,4355474,0.0106,0.080,125.10,307
2023-04-23,6933.61,68633,63299.08,14274336,723190.10,0,7488.00,0,22598.86,20803814,56939.93,127123,50770.69,7199204,19485.10,4032785,0.0106,0.080,125.10,350
2023-04-24,2708.87,175058,64728.05,14496511,663716.02,0,7488.00,0,21847.31,17933458,69861.34,135966,56237.92,7250629,19355.53,3631679,0.0106,0.080,125.10,440
2023-04-25,7768.71,400431,64644.22,14621181,266743.57,0,8947.20,0,20751.04,19295024,65274.17,129132,64525.18,8453141,19535.94,3377946,0.0106,0.080,125.10,536
2023-04-26,15363.39,464349,62499.75,12046446,0.00,0,8736.00,0,20332.95,12678791,67236.44,133212,59077.08,7610765,19911.45,3716501,0.0106,0.080,125.10,388
2023-04-27,26877.86,615935,56431.47,11082455,695667.41,0,8736.00,0,20222.02,13275326,61975.64,126840,57548.58,7203646,13022.57,2223907,0.0106,0.080,125.10,361
2023-04-28,14604.89,458272,55978.11,9195627,68486.53,0,10681.60,0,17812.69,13078030,52108.26,108301,57248.26,6938992,1660.57,202946,0.0106,0.080,125.10,312
2023-04-29,29068.15,724370,52537.57,9074182,174620.42,0,10681.60,0,16210.17,8133042,48857.55,113519,57907.66,6978337,1663.73,213360,0.0106,0.080,125.10,269
2023-04-30,87134.64,571592,58618.40,10136887,723190.10,0,12060.80,0,9548.23,4250875,44914.46,107792,62228.49,8390638,1671.12,222118,0.0106,0.080,125.10,298
2023-05-01,0.00,0,35799.45,7456819,90183.48,0,0.00,0,30686.94,25519621,48146.36,115307,53184.20,8627626,2537.11,377099,0.0047,0.080,122.22,327
2023-05-02,6554.63,194451,42308.75,10613544,172092.62,0,0.00,0,30475.32,24087747,55077.40,126377,42884.04,6137935,2528.30,459283,0.0047,0.080,122.22,382
2023-05-03,11198.61,448316,45629.99,10743122,0.00,0,0.00,0,30334.57,24122146,56544.86,121363,42089.29,6130062,2526.04,466243,0.0047,0.080,122.22,339
2023-05-04,6631.30,217168,39355.09,7204177,25682.45,0,0.00,0,30995.56,24980056,65351.82,132682,41301.62,6581030,2634.89,504709,0.0047,0.080,122.22,331
2023-05-05,8499.25,387073,40704.62,9229163,68486.53,0,0.00,0,31254.98,24141261,66040.22,131625,42014.07,6370877,2533.50,527944,0.0047,0.080,122.22,371
2023-05-06,18011.89,695317,40922.40,8483575,174620.42,0,0.00,0,30647.80,24328179,60611.06,126162,42285.78,6401718,2539.23,578045,0.0047,0.080,122.22,267
2023-05-07,37187.49,665590,47267.99,8195219,723190.10,0,0.00,0,29177.23,22723483,58595.93,127746,46640.56,7645771,2540.75,490846,0.0047,0.080,122.22,364
2023-05-08,16086.64,441342,42476.81,8388872,154718.22,0,0.00,0,30213.38,22856192,70604.71,134225,42481.61,7299753,2509.86,443210,0.0047,0.080,122.22,401
2023-05-09,8020.35,286544,58046.25,10646795,266743.56,0,0.00,0,67787.95,43687690,70476.06,132561,57141.54,8153978,6873.42,1272560,0.0047,0.080,122.22,343
2023-05-10,9410.59,338641,111949.33,16562864,0.00,0,0.00,0,86320.71,47275771,67856.84,141481,76470.41,9161635,9678.18,2126482,0.0047,0.080,122.22,403
2023-05-11,20204.43,464088,79304.15,9304449,121081.62,0,0.00,0,84626.99,45449718,72972.88,192516,76334.05,8906699,10014.69,2116408,0.0047,0.080,122.22,275
2023-05-12,9941.05,249086,98288.03,14678120,240579.15,0,0.00,0,114604.19,68763272,75234.15,223327,79462.91,10425159,9819.86,2048193,0.0047,0.080,122.22,378
